all_in;scenarios;year;fuel_share;count
" 
Total Aviation Demand";SSP2_noCOVID;2065;1;48
" 
Total Aviation Demand";SSP2_noCOVID;2066;1;49
" 
Total Aviation Demand";SSP2_noCOVID;2067;1;50
" 
Total Aviation Demand";SSP2_noCOVID;2068;1;51
" 
Total Aviation Demand";SSP2_noCOVID;2069;1;52
" 
Total Aviation Demand";SSP2_noCOVID;2070;1;53
" 
Total Aviation Demand";SSP2_noCOVID;2071;1;54
" 
Total Aviation Demand";SSP2_noCOVID;2072;1;55
" 
Total Aviation Demand";SSP2_noCOVID;2073;1;56
" 
Total Aviation Demand";SSP2_noCOVID;2074;1;57
" 
Total Aviation Demand";SSP2_noCOVID;2075;1;58
" 
Total Aviation Demand";SSP2_noCOVID;2076;1;59
" 
Total Aviation Demand";SSP2_noCOVID;2077;1;60
" 
Total Aviation Demand";SSP2_noCOVID;2078;1;61
" 
Total Aviation Demand";SSP2_noCOVID;2079;1;62
" 
Total Aviation Demand";SSP2_noCOVID;2080;1;63
" 
Total Aviation Demand";SSP2_noCOVID;2081;1;64
" 
Total Aviation Demand";SSP2_noCOVID;2082;1;65
" 
Total Aviation Demand";SSP2_noCOVID;2083;1;66
" 
Total Aviation Demand";SSP2_noCOVID;2084;1;67
" 
Total Aviation Demand";SSP2_noCOVID;2085;1;68
" 
Total Aviation Demand";SSP2_noCOVID;2086;1;69
" 
Total Aviation Demand";SSP2_noCOVID;2087;1;70
" 
Total Aviation Demand";SSP2_noCOVID;2088;1;71
" 
Total Aviation Demand";SSP2_noCOVID;2089;1;72
" 
Total Aviation Demand";SSP2_noCOVID;2090;1;73
" 
Total Aviation Demand";SSP2_noCOVID;2091;1;74
" 
Total Aviation Demand";SSP2_noCOVID;2092;1;75
" 
Total Aviation Demand";SSP2_noCOVID;2093;1;76
" 
Total Aviation Demand";SSP2_noCOVID;2094;1;77
" 
Total Aviation Demand";SSP2_noCOVID;2095;1;78
" 
Total Aviation Demand";SSP2_noCOVID;2096;1;79
" 
Total Aviation Demand";SSP2_noCOVID;2097;1;80
" 
Total Aviation Demand";SSP2_noCOVID;2098;1;81
" 
Total Aviation Demand";SSP2_noCOVID;2099;1;82
" 
Total Aviation Demand";SSP2_noCOVID;2100;1;83
" 
Total Aviation Demand";SSP5;2018;1;1
" 
Total Aviation Demand";SSP5;2019;1;2
" 
Total Aviation Demand";SSP5;2020;1;3
" 
Total Aviation Demand";SSP5;2021;1;4
" 
Total Aviation Demand";SSP5;2022;1;5
" 
Total Aviation Demand";SSP5;2023;1;6
" 
Total Aviation Demand";SSP5;2024;1;7
" 
Total Aviation Demand";SSP5;2025;1;8
" 
Total Aviation Demand";SSP5;2026;1;9
" 
Total Aviation Demand";SSP5;2027;1;10
" 
Total Aviation Demand";SSP5;2028;1;11
" 
Total Aviation Demand";SSP5;2029;1;12
" 
Total Aviation Demand";SSP5;2030;1;13
" 
Total Aviation Demand";SSP5;2031;1;14
" 
Total Aviation Demand";SSP5;2032;1;15
" 
Total Aviation Demand";SSP5;2033;1;16
" 
Total Aviation Demand";SSP5;2034;1;17
" 
Total Aviation Demand";SSP5;2035;1;18
" 
Total Aviation Demand";SSP5;2036;1;19
" 
Total Aviation Demand";SSP5;2037;1;20
" 
Total Aviation Demand";SSP5;2038;1;21
" 
Total Aviation Demand";SSP5;2039;1;22
" 
Total Aviation Demand";SSP5;2040;1;23
" 
Total Aviation Demand";SSP5;2041;1;24
" 
Total Aviation Demand";SSP5;2042;1;25
" 
Total Aviation Demand";SSP5;2043;1;26
" 
Total Aviation Demand";SSP5;2044;1;27
" 
Total Aviation Demand";SSP5;2045;1;28
" 
Total Aviation Demand";SSP5;2046;1;29
" 
Total Aviation Demand";SSP5;2047;1;30
" 
Total Aviation Demand";SSP5;2048;1;31
" 
Total Aviation Demand";SSP5;2049;1;32
" 
Total Aviation Demand";SSP5;2050;1;33
" 
Total Aviation Demand";SSP5;2051;1;34
" 
Total Aviation Demand";SSP5;2052;1;35
" 
Total Aviation Demand";SSP5;2053;1;36
" 
Total Aviation Demand";SSP5;2054;1;37
" 
Total Aviation Demand";SSP5;2055;1;38
" 
Total Aviation Demand";SSP5;2056;1;39
" 
Total Aviation Demand";SSP5;2057;1;40
" 
Total Aviation Demand";SSP5;2058;1;41
" 
Total Aviation Demand";SSP5;2059;1;42
" 
Total Aviation Demand";SSP5;2060;1;43
" 
Total Aviation Demand";SSP5;2061;1;44
" 
Total Aviation Demand";SSP5;2062;1;45
" 
Total Aviation Demand";SSP5;2063;1;46
" 
Total Aviation Demand";SSP5;2064;1;47
" 
Total Aviation Demand";SSP5;2065;1;48
" 
Total Aviation Demand";SSP5;2066;1;49
" 
Total Aviation Demand";SSP5;2067;1;50
" 
Total Aviation Demand";SSP5;2068;1;51
" 
Total Aviation Demand";SSP5;2069;1;52
" 
Total Aviation Demand";SSP5;2070;1;53
" 
Total Aviation Demand";SSP5;2071;1;54
" 
Total Aviation Demand";SSP5;2072;1;55
" 
Total Aviation Demand";SSP5;2073;1;56
" 
Total Aviation Demand";SSP5;2074;1;57
" 
Total Aviation Demand";SSP5;2075;1;58
" 
Total Aviation Demand";SSP5;2076;1;59
" 
Total Aviation Demand";SSP5;2077;1;60
" 
Total Aviation Demand";SSP5;2078;1;61
" 
Total Aviation Demand";SSP5;2079;1;62
" 
Total Aviation Demand";SSP5;2080;1;63
" 
Total Aviation Demand";SSP5;2081;1;64
" 
Total Aviation Demand";SSP5;2082;1;65
" 
Total Aviation Demand";SSP5;2083;1;66
" 
Total Aviation Demand";SSP5;2084;1;67
" 
Total Aviation Demand";SSP5;2085;1;68
" 
Total Aviation Demand";SSP5;2086;1;69
" 
Total Aviation Demand";SSP5;2087;1;70
" 
Total Aviation Demand";SSP5;2088;1;71
" 
Total Aviation Demand";SSP5;2089;1;72
" 
Total Aviation Demand";SSP5;2090;1;73
" 
Total Aviation Demand";SSP5;2091;1;74
" 
Total Aviation Demand";SSP5;2092;1;75
" 
Total Aviation Demand";SSP5;2093;1;76
" 
Total Aviation Demand";SSP5;2094;1;77
" 
Total Aviation Demand";SSP5;2095;1;78
" 
Total Aviation Demand";SSP5;2096;1;79
" 
Total Aviation Demand";SSP5;2097;1;80
" 
Total Aviation Demand";SSP5;2098;1;81
" 
Total Aviation Demand";SSP5;2099;1;82
" 
Total Aviation Demand";SSP5;2100;1;83
" 
Total Aviation Demand";SSP5_noCOVID;2018;1;1
" 
Total Aviation Demand";SSP5_noCOVID;2019;1;2
" 
Total Aviation Demand";SSP5_noCOVID;2020;1;3
" 
Total Aviation Demand";SSP5_noCOVID;2021;1;4
" 
Total Aviation Demand";SSP5_noCOVID;2022;1;5
" 
Total Aviation Demand";SSP5_noCOVID;2023;1;6
" 
Total Aviation Demand";SSP5_noCOVID;2024;1;7
" 
Total Aviation Demand";SSP5_noCOVID;2025;1;8
" 
Total Aviation Demand";SSP5_noCOVID;2026;1;9
" 
Total Aviation Demand";SSP5_noCOVID;2027;1;10
" 
Total Aviation Demand";SSP5_noCOVID;2028;1;11
" 
Total Aviation Demand";SSP5_noCOVID;2029;1;12
" 
Total Aviation Demand";SSP5_noCOVID;2030;1;13
" 
Total Aviation Demand";SSP5_noCOVID;2031;1;14
" 
Total Aviation Demand";SSP5_noCOVID;2032;1;15
" 
Total Aviation Demand";SSP5_noCOVID;2033;1;16
" 
Total Aviation Demand";SSP5_noCOVID;2034;1;17
" 
Total Aviation Demand";SSP5_noCOVID;2035;1;18
" 
Total Aviation Demand";SSP5_noCOVID;2036;1;19
" 
Total Aviation Demand";SSP5_noCOVID;2037;1;20
" 
Total Aviation Demand";SSP5_noCOVID;2038;1;21
" 
Total Aviation Demand";SSP5_noCOVID;2039;1;22
" 
Total Aviation Demand";SSP5_noCOVID;2040;1;23
" 
Total Aviation Demand";SSP5_noCOVID;2041;1;24
" 
Total Aviation Demand";SSP5_noCOVID;2042;1;25
" 
Total Aviation Demand";SSP5_noCOVID;2043;1;26
" 
Total Aviation Demand";SSP5_noCOVID;2044;1;27
" 
Total Aviation Demand";SSP5_noCOVID;2045;1;28
" 
Total Aviation Demand";SSP5_noCOVID;2046;1;29
" 
Total Aviation Demand";SSP5_noCOVID;2047;1;30
" 
Total Aviation Demand";SSP5_noCOVID;2048;1;31
" 
Total Aviation Demand";SSP5_noCOVID;2049;1;32
" 
Total Aviation Demand";SSP5_noCOVID;2050;1;33
" 
Total Aviation Demand";SSP5_noCOVID;2051;1;34
" 
Total Aviation Demand";SSP5_noCOVID;2052;1;35
" 
Total Aviation Demand";SSP5_noCOVID;2053;1;36
" 
Total Aviation Demand";SSP5_noCOVID;2054;1;37
" 
Total Aviation Demand";SSP5_noCOVID;2055;1;38
" 
Total Aviation Demand";SSP5_noCOVID;2056;1;39
" 
Total Aviation Demand";SSP5_noCOVID;2057;1;40
" 
Total Aviation Demand";SSP5_noCOVID;2058;1;41
" 
Total Aviation Demand";SSP5_noCOVID;2059;1;42
" 
Total Aviation Demand";SSP5_noCOVID;2060;1;43
" 
Total Aviation Demand";SSP5_noCOVID;2061;1;44
" 
Total Aviation Demand";SSP5_noCOVID;2062;1;45
" 
Total Aviation Demand";SSP5_noCOVID;2063;1;46
" 
Total Aviation Demand";SSP5_noCOVID;2064;1;47
" 
Total Aviation Demand";SSP5_noCOVID;2065;1;48
" 
Total Aviation Demand";SSP5_noCOVID;2066;1;49
" 
Total Aviation Demand";SSP5_noCOVID;2067;1;50
" 
Total Aviation Demand";SSP5_noCOVID;2068;1;51
" 
Total Aviation Demand";SSP5_noCOVID;2069;1;52
" 
Total Aviation Demand";SSP5_noCOVID;2070;1;53
" 
Total Aviation Demand";SSP5_noCOVID;2071;1;54
" 
Total Aviation Demand";SSP5_noCOVID;2072;1;55
" 
Total Aviation Demand";SSP5_noCOVID;2073;1;56
" 
Total Aviation Demand";SSP5_noCOVID;2074;1;57
" 
Total Aviation Demand";SSP5_noCOVID;2075;1;58
" 
Total Aviation Demand";SSP5_noCOVID;2076;1;59
" 
Total Aviation Demand";SSP5_noCOVID;2077;1;60
" 
Total Aviation Demand";SSP5_noCOVID;2078;1;61
" 
Total Aviation Demand";SSP5_noCOVID;2079;1;62
" 
Total Aviation Demand";SSP5_noCOVID;2080;1;63
" 
Total Aviation Demand";SSP5_noCOVID;2081;1;64
" 
Total Aviation Demand";SSP5_noCOVID;2082;1;65
" 
Total Aviation Demand";SSP5_noCOVID;2083;1;66
" 
Total Aviation Demand";SSP5_noCOVID;2084;1;67
" 
Total Aviation Demand";SSP5_noCOVID;2085;1;68
" 
Total Aviation Demand";SSP5_noCOVID;2086;1;69
" 
Total Aviation Demand";SSP5_noCOVID;2087;1;70
" 
Total Aviation Demand";SSP5_noCOVID;2088;1;71
" 
Total Aviation Demand";SSP5_noCOVID;2089;1;72
" 
Total Aviation Demand";SSP5_noCOVID;2090;1;73
" 
Total Aviation Demand";SSP5_noCOVID;2091;1;74
" 
Total Aviation Demand";SSP5_noCOVID;2092;1;75
" 
Total Aviation Demand";SSP5_noCOVID;2093;1;76
" 
Total Aviation Demand";SSP5_noCOVID;2094;1;77
" 
Total Aviation Demand";SSP5_noCOVID;2095;1;78
" 
Total Aviation Demand";SSP5_noCOVID;2096;1;79
" 
Total Aviation Demand";SSP5_noCOVID;2097;1;80
" 
Total Aviation Demand";SSP5_noCOVID;2098;1;81
" 
Total Aviation Demand";SSP5_noCOVID;2099;1;82
